time_iso8601,forks_cumulative
2026-02-23 00:00:00+00:00,964
2026-02-26 00:00:00+00:00,966
2026-03-01 00:00:00+00:00,967
2026-03-03 00:00:00+00:00,968
2026-03-04 00:00:00+00:00,969
2026-03-06 00:00:00+00:00,970
2026-03-09 00:00:00+00:00,971
2026-03-11 00:00:00+00:00,972
2026-03-12 00:00:00+00:00,974
2026-03-13 00:00:00+00:00,975
2026-03-16 00:00:00+00:00,977
2026-03-17 00:00:00+00:00,978
2026-03-19 00:00:00+00:00,979
2026-03-21 00:00:00+00:00,982
2026-03-22 00:00:00+00:00,983
2026-03-23 00:00:00+00:00,985
2026-03-24 00:00:00+00:00,986
2026-03-25 00:00:00+00:00,987
2026-03-27 00:00:00+00:00,990
2026-03-29 00:00:00+00:00,992
2026-03-30 00:00:00+00:00,993
2026-03-31 00:00:00+00:00,994
2026-04-01 00:00:00+00:00,995
2026-04-02 00:00:00+00:00,996
2026-04-08 00:00:00+00:00,998
2026-04-12 00:00:00+00:00,999
2026-04-15 00:00:00+00:00,1000
2026-04-23 00:00:00+00:00,1001
2026-04-24 00:00:00+00:00,1002
2026-04-25 00:00:00+00:00,1003
2026-04-27 00:00:00+00:00,1004
2026-04-28 00:00:00+00:00,1005
2026-05-02 00:00:00+00:00,1006
